project_name,project_details,project_status,publish_date,budget,duration,skills,link
ميديا باير  محترف لإدارة الحملات الإعلانية وإعداد الاستراتيجيات التسويقية,مطلوب ميديا باير محترف لإدارة الحملات الإعلانية نبحث عن خبير ميديا باير محترف للعمل معنا على إدارة وتنفيذ الحملات الإعلانية لمجموعة من عملائنا في مختلف القطاعات. المهام المطلوبة: إدارة الحملات الإعلانية على فيسبوك، إنستقرام، سناب شات، تيك توك، وجوجل. إعداد الاستراتيجيات التسويقية للحملات بناءً على أهداف العميل. تحليل النتائج بشكل دوري وتحسين الأداء للوصول لأفضل العوائد. إعداد تقارير احترافية توضح أداء الحملات وتوصيات التطوير. أضف بعرضك باقة أسعارك لكل مهمة . المتطلبات: خبرة مثبتة في إدارة الميزانيات الإعلانية وتحقيق نتائج في محالات مختلفة خبرة في ربط البيكسلات ( GTM - CAPI - EVENT API  ) إتقان استخدام منصات الإعلانات القدرة على تحليل البيانات واتخاذ قرارات مبنية على الأرقام. احترافية في التعامل والتزام بالمواعيد والتقارير. نوع العمل: عن بعد. العمل مستمر حسب الأداء والجودة. إذا كنت ترى في نفسك الكفاءة لإدارة حملات باحترافية وتحقيق نتائج ملموسة، ننتظرك لتكون جزءًا من فريقنا,مفتوح,2025-10-30 09:57:19,$250.00 - $500.00,"30
    يوما","التسويق عبر الإنترنت, التسويق الإلكتروني, التسويق عبر مواقع التواصل الاجتماعي, كتابة التقارير, التسويق عبر الفيس بوك, الفكرة التصميمية",https://mostaql.com/project/1171614-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A8%D8%A7%D9%8A%D8%B1-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AD%D9%85%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86%D9%8A%D8%A9-%D9%88%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AA%D9%8A%D8%AC%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82%D9%8A%D8%A9
تصميم بانرات او اشكال لوضعها في البنرات,السلام عليكم لدي موقع الكتروني جاهز. والصور للاشكال في البنرات حالياً من الثيم الاساسي اود من المصمم تصميم اشكال بما يناسب مجال الموقع ( خدمات تنظيف) لاضافة هذه الاشكال على البنرات او تصميم بنرات. بعض الصور الموجودة في الموقع مرفقه. الاشكال او النبرات سيتم اضافتها في صفحات مثل الرئيسية، المدن، وصفحات اخرى. سيتم ارسال رابط الموقع للمصمم للاطلاع عليه قبل البدء الشروط يفضل انشاء الاشكال او اذا كانت متوفرة تناسب المجال، متناسقة جميعها من ناحية الالون والاشكال المستقل يجب ان يكون محترف ولديه امثله لاعمال ويقدم الاستشارة لافضل طريقة للتصميم,مفتوح,2025-10-30 09:50:08,$25.00 - $50.00,"3
    أيام","تصميم بنرات, إعلانات جوجل, التسويق عبر مواقع التواصل الاجتماعي, التسويق الإلكتروني, التسويق عبر الإنترنت, تصميم بوسترات, تصميم إعلان, Adobe Illustrator, فوتوشوب, الفكرة التصميمية, التصميم الإبداعي",https://mostaql.com/project/1171608-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A8%D8%A7%D9%86%D8%B1%D8%A7%D8%AA-%D8%A7%D9%88-%D8%A7%D8%B4%D9%83%D8%A7%D9%84-%D9%84%D9%88%D8%B6%D8%B9%D9%87%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D8%A8%D9%86%D8%B1%D8%A7%D8%AA
استشارة في جعل bill of materials ديناميكية في مديول التصنيع في Odoo,"السلام عليكم ورحمة الله وبركاته نحن مصنع للأثاث نستخدم برنامج Odoo في ادارة التصنيع نقوم بتعريف المنتج عن طريق مجموعة خيارات متغيرة (شاهد الصورة المرفقة) ولكن يتطلب تفعيل أمر التصنيع للمنتج لعمل BOM , bill of materials  عند تغيير كل خيار من خيارات المنتج نبحث عن شخص يساعدنا في جعل ال bill of materials ديناميكية بحيث اذا تم تعديل احد الخيارات يتم تعديل BOM بشكل تلقائي الخيارات تشمل : نوع المادة المستخدمة مقاس اختيارات متعددة المطلوب :  ايجاد فكرة للحل واضافة منتج واحد بهذه الطريقة وتعليمنا كيف نقوم بتعريف باقي المنتجات",مفتوح,2025-10-30 09:43:28,$100.00 - $250.00,"5
    أيام","أودو, تطوير البرمجيات, هندسة البرمجيات, إدارة المشاريع, برمجة",https://mostaql.com/project/1171611-%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A9-%D9%81%D9%8A-%D8%AC%D8%B9%D9%84-bill-of-materials-%D8%AF%D9%8A%D9%86%D8%A7%D9%85%D9%8A%D9%83%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%88%D9%84-%D8%A7%D9%84%D8%AA%D8%B5%D9%86%D9%8A%D8%B9-%D9%81%D9%8A-odoo
تصميم لاند سكيب وشبكة ري,تصميم لاند سكيب وشبكة ري مع تفصيل أنواع الاشجار والشجيرات  واسمائها  والنباتات وتفصيل المواد المستخدمة لشبكة الري عددها وأطوالها والكميات والأجهزة المناسبة - استراحة مساحة ٦٦٠٠ م٢ يراعى تنوع  الاشجار المناسبة  من حيث البيئة واستهلاك المياة والعناية والجمال,مفتوح,2025-10-30 09:42:04,$50.00 - $100.00,"7
    أيام","حصر كميات, هندسة معمارية, مخطط التمديدات الكهربائية, مخططات فلل, مخططات تنفيذية",https://mostaql.com/project/1171610-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%84%D8%A7%D9%86%D8%AF-%D8%B3%D9%83%D9%8A%D8%A8-%D9%88%D8%B4%D8%A8%D9%83%D8%A9-%D8%B1%D9%8A
مدرس/ة يساعدني بشرح هذا الكورس A taensition to advanced mathematics,شرح ثلاث شبتارات مع المساعدة في حل الواجبات,مفتوح,2025-10-30 09:41:36,$25.00 - $50.00,"2
    يومين","تدريس خصوصي, الرياضيات, التعليم الإلكتروني, تدريب عن بعد, التصميم التعليمي",https://mostaql.com/project/1171609-%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D9%8A%D8%B3%D8%A7%D8%B9%D8%AF%D9%86%D9%8A-%D8%A8%D8%B4%D8%B1%D8%AD-%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%83%D9%88%D8%B1%D8%B3-a-taensition-to-advanced-mathematics
مطلوب مطور Flutter لتطوير ميزات جديدة مع تعديل أخطاء,نبحث عن مطور محترف للعمل على تطبيق Flutter. المهام: 1- تطوير ميزات جديدة للتطبيق الحالي. 2- تحسين الأداء وإصلاح الأخطاء. 3- التعاون مع الفريق الخلفي لدمج الAPI المتطلبات: 1- خبرة قوية في Flutter وDart. 2- خبرة في التعامل مع RESTful APIs 3- التزام بالجودة والمواعيد.,مفتوح,2025-10-30 09:34:15,$50.00 - $100.00,"15
    يوما","واجهة برمجة التطبيقات, تطوير التطبيقات, Swift, كوتلن, برمجة iOS, برمجة أندرويد, استكشاف الأخطاء وإصلاحها, تطوير البرمجيات",https://mostaql.com/project/1171606-%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D9%85%D8%B7%D9%88%D8%B1-flutter-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%8A%D8%B2%D8%A7%D8%AA-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%85%D8%B9-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%A3%D8%AE%D8%B7%D8%A7%D8%A1
مصمم عروض تقديمية متخصص في تصميم العروض الاستثمارية  لتنفيذ عرض تقديمي عالي,"أبحث عن مصمم عروض تقديمية محترف ومبدع ، متخصص في تصميم العروض الاستثمارية  لتنفيذ عرض تقديمي عالي الأهمية الهدف من المشروع سيتم تقديم هذا العرض إلى مستثمر سعودي بارز بهدف تأمين تمويل لمشروع رائد واستراتيجي في قطاع ق ع غيار السيارات الصينية و خدمات ما بعد البيع للسيارات في المملكة العربية السعودية مستثمر كبير ،مما يتطلب مستوى عالٍ جدا من الاحترافية والجودة البصرية والوضوح التام. ما سيتم تزويدك به (المُدخلات) المحتوى  شبة جاهز  سأقوم بتزويدك بجزء منه بالمحتوى النصي الكامل  لكل شريحة (عدد الشرائح تقريباً 10-15 شرائح). * **الأرقام والبيانات الأساسية:** سأزودك بالإحصائيات والأرقام التي يجب إبرازها. ما هو مطلوب منك (المهام الرئيسية) دورك ليس كتابة المحتوى، بل ترجمة"" المحتوى النصي والاستراتيجي إلى تصميم بصري مقنع واحترافي ويشمل ذلك: 1.  تصميم الهوية البصرية (Theme): ابتكار هوية بصرية (Theme) كاملة للعرض تكون جادة، أنيقة (Corporate & Premium)، وحديثة، وتناسب بيئة الأعمال الخليجية والسعودية. 2.  صور البيانات  تحويل جميع الأرقام والإحصائيات الواردة في المحتوى (مثل: 36 مليار ريال، 25 مليار ريال، 271% نمو، الحصص السوقية) إلى رسوم بيانية (Charts) وإنفوجرافيك (Infographics) احترافية وسهلة القراءة. 3.  **تصميم تخطيط الشرائح (Layout):** توزيع المحتوى النصي والصور والأيقونات داخل الشرائح بشكل متناسق واحترافي (غير مزدحم). 4.  **الرسوم التوضيحية (Infographics):** إنشاء رسوم توضيحية مخصصة لبعض المفاهيم (مثل: رسم يوضح ""المنظومة المتكاملة B2B/B2C""، خريطة توضح ""استراتيجية الانتشار الجغرافي"" في المملكة). 5.  **اختيار الصور والأيقونات:** استخدام صور (Stock Images) وأيقونات احترافية عالية الجودة ومرخصة تتناسب مع المحتوى (مثل صور لسيارات، مستودعات ذكية، موانئ). **المخرجات المطلوبة:** 1.  ملف PowerPoint (PPTX) أصلي قابل للتعديل بالكامل. 2.  نسخة PDF عالية الجودة جاهزة للعرض. **متطلبات التقديم (هام جداً):** * **معرض الأعمال هو الأهم:** يُرجى إرفاق معرض أعمالك (Portfolio) الذي يثبت خبرتك في تصميم عروض تقديمية **استثمارية** أو **تقارير أعمال (Business Reports)** تحديداً. * **أمثلة محددة:** أود رؤية 3 أمثلة على الأقل لـ (Pitch Decks) قمت بتصميمها سابقاً. * **سيتم تجاهل العروض التي لا تحتوي على أمثلة أعمال سابقة ذات صلة.** أنا أبحث عن شريك مبدع يفهم ثقل هذا العرض، ويقدم جودة تليق بالعرض على كبار المستثمرين. -",مفتوح,2025-10-30 09:14:35,$25.00 - $50.00,"2
    يومين","تصميم بنرات, الفكرة التصميمية, باوربوينت, الكتابة الإبداعية, تصميم عروض تقديمية",https://mostaql.com/project/1171599-%D9%85%D8%B5%D9%85%D9%85-%D8%B9%D8%B1%D9%88%D8%B6-%D8%AA%D9%82%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D8%B9%D8%B1%D9%88%D8%B6-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1%D9%8A%D8%A9-%D9%84%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D8%B9%D8%B1%D8%B6-%D8%AA%D9%82%D8%AF%D9%8A%D9%85%D9%8A-%D8%B9%D8%A7%D9%84%D9%8A
تنفيذ مقاطع موشن جرافيك احترافية لمشاريع تسويقية وإعلانية.,نبحث عن مصمم موشن جرافيك ومونتير محترف نبحث عن شخص مبدع يملك الحس البصري والقدرة على تحويل الأفكار إلى مقاطع مرئية مؤثرة وجذابة تعكس هوية العلامة وتشد الانتباه من أول ثانية. المهام والمسؤوليات: •تنفيذ مقاطع موشن جرافيك احترافية لمشاريع تسويقية وإعلانية. •عمل مونتاج وتحرير للفيديوهات الدعائية والمحتوى المرئي. •ابتكار أفكار بصرية جديدة تدعم أهداف الحملة والمحتوى. •الالتزام بجودة عالية وتسليم ضمن المواعيد المحددة. المتطلبات: •خبرة عملية في الموشن جرافيك والمونتاج. •إجادة التعامل مع برامج Adobe After Effects وPremiere Pro (أو ما يعادلها). •امتلاك معرض أعمال مميز (إرسال نماذج العمل شرط أساسي). •روح إبداعية وقدرة على العمل ضمن فريق إنتاج وتسويق اذكر عدد الفيديوهات التي يمكنك العمل عليها / أو أضف بعرضك قيمة الدقيقة,مفتوح,2025-10-30 09:12:30,$50.00 - $100.00,"3
    أيام","تصميم فيديو, إنتاج الفيديو, تصميم موشن جرافيك, تصميم جرافيك, التسويق بالفيديو",https://mostaql.com/project/1171597-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%85%D9%82%D8%A7%D8%B7%D8%B9-%D9%85%D9%88%D8%B4%D9%86-%D8%AC%D8%B1%D8%A7%D9%81%D9%8A%D9%83-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%AA%D8%B3%D9%88%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%A5%D8%B9%D9%84%D8%A7%D9%86%D9%8A%D8%A9
برنامج بيع بالتقسيط,برنامج بيع بالتقسيط يكون وفق الآتي 1- اضافة عملاء (امكانية فرزهم الى (موقوف- عميل ذهبي -عميل فضي -عادي) 2- اضافة مساهمين يكون هناك امكانية زيادة مبالغهم شهريا او السحب من رأس المال او الارباح مع تحديد نسبة المكتب من الربح لكل واحد 3- اضافة مستثمرين يكون اجراءات التقسيط باسمائهم مع تحديد نسبة المكتب من الربح 4- اضافة اصناف مع امكانية حساب متوسط كل صنف واظهاره عند بيعه وتحديد سعر البيع عند بيعه نقدا او بالتقسيط وتوزيع الربح على المساهمين او تخصيصه للمكتب 5- تقارير كاملة  قابله للطباعة عن العقود وكشف حساب كل عقد وسندات لأمر وتنبيهات المتأخرين بالسداد الشهرية والحركة المالية كاملة لبيع الأصناف او للاقساط 6- تسديد الأقساط مع امكانية البحث او استخراج قائمة لما سدد للعميل 7 - تقارير عن حجم الأقساط وعدد العقود والمبلغ والأرباح المحصلة والتي لم يتم تحصيلها والصافي من الأرباح سندات صرف مصاريف عامة ومصاريف ادارية 8- امكانية تصفية العقود والتخفيض لما لا يقل عن رأس المال او اقل من رأس المال بصلاحية خاصة 9- تقرير عن رأس المال والربح لكل مساهم وكل مستثمر والمبلغ المتبقي في الخزينة 10- يوجد نموذج عندي اعمل عليه يمكن الاطلاع وتقليده بعد الإتفاق وهو يعمل على اكسس 2003 11- من المهم ان يكون البرنامج مفتوح لي وخاص وشرط التعديل عليه اثناء العمل بما لا يقل عن سنه ميلادية كامله .. 12- هناك تفاصيل اخرى صغيرة تكون اثناء العمل,مفتوح,2025-10-30 09:10:45,$100.00 - $250.00,"10
    أيام","برمجة, تطوير البرمجيات, هندسة البرمجيات, برمجة التطبيقات, تطوير التطبيقات",https://mostaql.com/project/1171596-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A8%D9%8A%D8%B9-%D8%A8%D8%A7%D9%84%D8%AA%D9%82%D8%B3%D9%8A%D8%B7
تصميم هوية بصرية لشركة وعمل دليل الهوية البصرية,"تصميم هوية بصرية لشركة الخطوة الأولى: - تطوير اللوغو , حيث هناك لوغو ونريد تطويره بحيث يقوم المصمم بتقديم عدة اقتراحات لتطوير الخطوة الثانية: عمل دليل يشرح الاستخدامات الصحيحة والخاطئة للشعار بالإضافة لأكواد الألوان الأساسية والثانوية والخطوط العربية والانكليزية المرافقة للبراند بالإضافة للأنماط والاشكال التي سيتم استخدامها في الهوية بحيث يتم الحفاظ على الهوية البصرية للمصممين في المستقبل. المكونات الإلكترونية - صورة البروفايل لمنصات التواصل الاجتماعي - تصميم غلاف فيسبوك- تصميم غلاف تويتر - تصميم غلاف يوتيوب- تصميم غلاف لينكد ان - تصميم قالب بوست مربع قابل للتعديل - تصميم قالب عرض تقديمي - تصميم قالب ملف وورد للمراسلات الرسمية- توقيع الايميل مكونات الهوية البصرية المكونات الطباعية - تصميم كروت فيزيت- تصميم أوراق رسمية - تصميم ظرف المراسلة-تصميم مصنف الأوراق الرسمية - تصميم أختام- تصميم الأعلام- تصميم بطاقة اي دي للموظفين - تصميم دفتر a5 - تصميم رول أب - تصميم Mug - تصميم قلم - تصميم لوحة اسمية Badge مع الشريط - تصميم دبوس للموظفين 3- مركبات التوصيل : تصميم جذاب للمركبات مع الشعار والألوان الرسمية لزيادة الوعي بالعلامة التجارية أثناء التنقل. الزي الرسمي للموظفين : (Uniforms) زي موحد يتضمن الشعار والألوان الرسمية، مع التركيز على الاحترافية والراحة. التغليف : (Packaging) أكياس، صناديق، وملصقات تحتوي على الشعار والألوان الرسمية لتمييز الشركة. المواد الترويجية : (Promotional Materials) التوقيع الإلكتروني: (Email Signature) تحريك الشعار الخطوة الثالثة: تسليم اصل الملف سوفت كوبي بحيث تكون editiable وكل بند من البنود في ملف مستقل وتكون بجودة عالية جدا"" ويتم رفعها ع كلاود الشركة 1) ان يكون المستقل قد قام بعمل أعمال مشابهة 2) إرسال نموذجا من أعمال سابقة تحتوي ع ما ذكر أعلاه 3) أن لا يكون لديه مشكلة بالتواصل ومن لديه مشكلة ارجو ان لا يقوم بالتقديم على المشروع 4) الملف باللغة الانجليزية والعربية 5) اية نطاق عمل مربوط بالهوية البصرية هو من ضمن نطاق العمل وليس شرطا"" ذكره 5)الملكية الفكرية هي ملك للشركة وليس للمستقل. 6) تقديم الدعم بعد التسليم.",مفتوح,2025-10-30 08:58:42,$50.00 - $100.00,"8
    أيام","الفكرة التصميمية, تصميم هوية بصرية, تصميم جرافيك, تصميم هوية تجارية, تصميم شعار, أدوبي بريمير, فوتوشوب, التصميم الإبداعي, Adobe Illustrator",https://mostaql.com/project/1171593-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%87%D9%88%D9%8A%D8%A9-%D8%A8%D8%B5%D8%B1%D9%8A%D8%A9-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D9%88%D8%B9%D9%85%D9%84-%D8%AF%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D8%A9-%D8%A7%D9%84%D8%A8%D8%B5%D8%B1%D9%8A%D8%A9
